,DistrictCode,SchoolCode,SchoolName,Longitude,Latitude,County,AllStudents,C_AllStudents,G_Female,GC_Female,G_Male,GC_Male,G_GenderX,GC_GenderX,R_Native,RC_Native,R_Asian,RC_Asian,R_Black,RC_Black,R_Hisp_Lat,RC_Hisp_Lat,R_HPI,RC_HPI,R_NA,RC_NA,R_TwoOrMore,RC_TwoOrMore,R_White,RC_White,L_ELL,LC_ELL,L_NoELL,LC_NoELL,I_LowIncome,IC_LowIncome,I_NoLowIncome,IC_NoLowIncome,D_Disability,DC_Disability,D_NoDisability,DC_NoDisability,A_9,AC_9,A_10,AC_10,A_11,AC_11,A_12,AC_12
458,39207,4022,Pace Alternative High School,-120.423473,46.445246000000004,Yakima,109,24,48,7,61,17,0,0,40,8,0,0,0,0,62,12,0,0,0,0,4,3,3,1,63,10,46,14,106,24,3,0,11,3,98,21,4,2,24,5,35,5,46,12
459,39208,3074,West Valley High School,-120.63889099999999,46.57369,Yakima,1625,151,799,46,820,104,6,1,15,4,58,9,5,0,532,57,3,2,0,0,54,2,958,77,85,7,1540,144,767,85,858,66,202,15,1423,136,414,48,426,50,393,20,392,33
460,39209,2532,White Swan High School,-120.7209,46.38969,Yakima,292,21,146,13,146,8,0,0,160,13,0,0,0,0,100,7,0,0,19,0,8,1,5,0,123,9,169,12,292,21,0,0,38,0,254,21,80,5,68,9,60,4,84,3
461,31025,1910,Marysville SD Special,-122.17336399999999,48.067881,Snohomish,31,0,12,0,19,0,0,0,3,0,0,0,1,0,11,0,3,0,0,0,3,0,10,0,5,0,26,0,13,0,18,0,30,0,1,0,4,0,3,0,7,0,17,0
462,32416,1919,Independent Scholar,-117.350223,47.968712,Spokane,33,0,17,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31,0,0,0,33,0,13,0,20,0,0,0,33,0,4,0,12,0,10,0,7,0
463,31201,1904,Parent Partnership,-122.087021,47.927253,Snohomish,29,0,16,0,12,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,21,0,1,0,28,0,3,0,26,0,2,0,27,0,6,0,7,0,8,0,8,0
464,8458,1934,Loowit High School,-122.89023999999999,46.145384,Cowlitz,13,0,8,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,9,0,1,0,12,0,9,0,4,0,2,0,11,0,1,0,5,0,3,0,4,0
465,18303,1935,Eagle Harbor High School,-122.512245,47.635559,Kitsap,126,0,57,0,68,0,1,0,0,0,3,0,2,0,14,0,1,0,0,0,8,0,98,0,3,0,123,0,32,0,94,0,38,0,88,0,14,0,35,0,36,0,41,0
466,29100,1928,Burlington-Edison Alternative School,-122.335273,48.480872999999995,Skagit,46,0,22,0,24,0,0,0,0,0,0,0,0,0,22,0,1,0,8,0,4,0,11,0,13,0,33,0,33,0,13,0,1,0,45,0,2,0,4,0,13,0,27,0
467,31025,1927,Legacy High School,-122.19568100000001,48.061553,Snohomish,421,125,205,51,213,73,3,1,32,9,9,3,12,3,97,30,5,1,0,0,42,13,224,66,36,13,385,112,236,69,185,56,103,29,318,96,108,27,103,39,132,42,78,17
468,17001,3496,Interagency Detention School,-122.31549,47.604617,King,55,0,11,0,44,0,0,0,1,0,3,0,23,0,8,0,0,0,0,0,6,0,14,0,0,0,55,0,11,0,44,0,17,0,38,0,11,0,15,0,16,0,13,0
469,32801,3526,Spokane Juvenile Detention School,-117.43043600000001,47.665644,Spokane,76,0,17,0,58,0,1,0,7,0,0,0,9,0,7,0,6,0,0,0,5,0,42,0,0,0,76,0,44,0,32,0,0,0,76,0,18,0,18,0,23,0,17,0
470,32801,3507,Structural Alt Confinement School,-117.43043600000001,47.665644,Spokane,50,0,15,0,35,0,0,0,2,0,0,0,0,0,7,0,4,0,0,0,2,0,35,0,0,0,50,0,34,0,16,0,0,0,50,0,14,0,17,0,12,0,7,0
